index,ts_18003,18003,index,ts_18004,18004,index,ts_34499,34499,index,ts_34500,34500
37145,2020-11-17 22:32:30+01:00,771.2199999999999,37146,2020-11-17 22:33:00+01:00,804.6300000000001,64047,2020-11-27 06:43:30+01:00,775.05,64048,2020-11-27 06:44:00+01:00,809.9849999999999
37146,2020-11-17 22:33:00+01:00,804.6300000000001,37147,2020-11-17 22:33:30+01:00,839.5550000000001,64048,2020-11-27 06:44:00+01:00,809.9849999999999,64049,2020-11-27 06:44:30+01:00,842.5600000000001
37147,2020-11-17 22:33:30+01:00,839.5550000000001,37148,2020-11-17 22:34:00+01:00,873.865,64049,2020-11-27 06:44:30+01:00,842.5600000000001,64050,2020-11-27 06:45:00+01:00,879.1999999999998
37148,2020-11-17 22:34:00+01:00,873.865,37149,2020-11-17 22:34:30+01:00,845.4857142857143,64050,2020-11-27 06:45:00+01:00,879.1999999999998,64051,2020-11-27 06:45:30+01:00,847.0095238095237
37149,2020-11-17 22:34:30+01:00,845.4857142857143,37150,2020-11-17 22:35:00+01:00,803.0727272727272,64051,2020-11-27 06:45:30+01:00,847.0095238095237,64052,2020-11-27 06:46:00+01:00,806.1272727272727
37150,2020-11-17 22:35:00+01:00,803.0727272727272,37151,2020-11-17 22:35:30+01:00,796.9409090909089,64052,2020-11-27 06:46:00+01:00,806.1272727272727,64053,2020-11-27 06:46:30+01:00,802.2136363636363
37151,2020-11-17 22:35:30+01:00,796.9409090909089,37152,2020-11-17 22:36:00+01:00,728.3900000000001,64053,2020-11-27 06:46:30+01:00,802.2136363636363,64054,2020-11-27 06:47:00+01:00,729.47
37152,2020-11-17 22:36:00+01:00,728.3900000000001,37153,2020-11-17 22:36:30+01:00,772.95,64054,2020-11-27 06:47:00+01:00,729.47,64055,2020-11-27 06:47:30+01:00,775.185
37153,2020-11-17 22:36:30+01:00,772.95,37154,2020-11-17 22:37:00+01:00,806.4549999999999,64055,2020-11-27 06:47:30+01:00,775.185,64056,2020-11-27 06:48:00+01:00,812.48
37154,2020-11-17 22:37:00+01:00,806.4549999999999,37155,2020-11-17 22:37:30+01:00,840.635,64056,2020-11-27 06:48:00+01:00,812.48,64057,2020-11-27 06:48:30+01:00,847.18
37155,2020-11-17 22:37:30+01:00,840.635,37156,2020-11-17 22:38:00+01:00,877.7,64057,2020-11-27 06:48:30+01:00,847.18,64058,2020-11-27 06:49:00+01:00,880.445
37156,2020-11-17 22:38:00+01:00,877.7,37157,2020-11-17 22:38:30+01:00,847.2857142857143,64058,2020-11-27 06:49:00+01:00,880.445,64059,2020-11-27 06:49:30+01:00,851.5619047619049
37157,2020-11-17 22:38:30+01:00,847.2857142857143,37158,2020-11-17 22:39:00+01:00,804.0136363636364,64059,2020-11-27 06:49:30+01:00,851.5619047619049,64060,2020-11-27 06:50:00+01:00,808.1272727272727
37158,2020-11-17 22:39:00+01:00,804.0136363636364,37159,2020-11-17 22:39:30+01:00,798.9090909090909,64060,2020-11-27 06:50:00+01:00,808.1272727272727,64061,2020-11-27 06:50:30+01:00,803.7863636363636
37159,2020-11-17 22:39:30+01:00,798.9090909090909,37160,2020-11-17 22:40:00+01:00,724.4699999999999,64061,2020-11-27 06:50:30+01:00,803.7863636363636,64062,2020-11-27 06:51:00+01:00,730.355
37160,2020-11-17 22:40:00+01:00,724.4699999999999,37161,2020-11-17 22:40:30+01:00,758.1399999999999,64062,2020-11-27 06:51:00+01:00,730.355,64063,2020-11-27 06:51:30+01:00,749.875
37161,2020-11-17 22:40:30+01:00,758.1399999999999,37162,2020-11-17 22:41:00+01:00,808.0150000000001,64063,2020-11-27 06:51:30+01:00,749.875,64064,2020-11-27 06:52:00+01:00,811.8149999999999
37162,2020-11-17 22:41:00+01:00,808.0150000000001,37163,2020-11-17 22:41:30+01:00,844.53,64064,2020-11-27 06:52:00+01:00,811.8149999999999,64065,2020-11-27 06:52:30+01:00,851.3
37163,2020-11-17 22:41:30+01:00,844.53,37164,2020-11-17 22:42:00+01:00,878.925,64065,2020-11-27 06:52:30+01:00,851.3,64066,2020-11-27 06:53:00+01:00,886.1200000000001
37164,2020-11-17 22:42:00+01:00,878.925,37165,2020-11-17 22:42:30+01:00,849.7190476190475,64066,2020-11-27 06:53:00+01:00,886.1200000000001,64067,2020-11-27 06:53:30+01:00,858.347619047619
37165,2020-11-17 22:42:30+01:00,849.7190476190475,37166,2020-11-17 22:43:00+01:00,806.2727272727273,64067,2020-11-27 06:53:30+01:00,858.347619047619,64068,2020-11-27 06:54:00+01:00,813.4454545454545
37166,2020-11-17 22:43:00+01:00,806.2727272727273,37167,2020-11-17 22:43:30+01:00,803.6545454545453,64068,2020-11-27 06:54:00+01:00,813.4454545454545,64069,2020-11-27 06:54:30+01:00,808.2227272727272
37167,2020-11-17 22:43:30+01:00,803.6545454545453,37168,2020-11-17 22:44:00+01:00,731.075,64069,2020-11-27 06:54:30+01:00,808.2227272727272,64070,2020-11-27 06:55:00+01:00,737.0150000000001
37168,2020-11-17 22:44:00+01:00,731.075,37169,2020-11-17 22:44:30+01:00,747.0649999999998,64070,2020-11-27 06:55:00+01:00,737.0150000000001,64071,2020-11-27 06:55:30+01:00,753.215
37169,2020-11-17 22:44:30+01:00,747.0649999999998,37170,2020-11-17 22:45:00+01:00,780.48,64071,2020-11-27 06:55:30+01:00,753.215,64072,2020-11-27 06:56:00+01:00,787.5000000000001
37170,2020-11-17 22:45:00+01:00,780.48,37171,2020-11-17 22:45:30+01:00,828.6800000000001,64072,2020-11-27 06:56:00+01:00,787.5000000000001,64073,2020-11-27 06:56:30+01:00,835.0599999999998
37171,2020-11-17 22:45:30+01:00,828.6800000000001,37172,2020-11-17 22:46:00+01:00,886.0450000000001,64073,2020-11-27 06:56:30+01:00,835.0599999999998,64074,2020-11-27 06:57:00+01:00,888.915
37172,2020-11-17 22:46:00+01:00,886.0450000000001,37173,2020-11-17 22:46:30+01:00,855.3380952380952,64074,2020-11-27 06:57:00+01:00,888.915,64075,2020-11-27 06:57:30+01:00,859.2952380952381
37173,2020-11-17 22:46:30+01:00,855.3380952380952,37174,2020-11-17 22:47:00+01:00,809.3136363636364,64075,2020-11-27 06:57:30+01:00,859.2952380952381,64076,2020-11-27 06:58:00+01:00,814.3409090909091
37174,2020-11-17 22:47:00+01:00,809.3136363636364,37175,2020-11-17 22:47:30+01:00,806.9227272727272,64076,2020-11-27 06:58:00+01:00,814.3409090909091,64077,2020-11-27 06:58:30+01:00,809.5090909090909
37175,2020-11-17 22:47:30+01:00,806.9227272727272,37176,2020-11-17 22:48:00+01:00,733.1899999999999,64077,2020-11-27 06:58:30+01:00,809.5090909090909,64078,2020-11-27 06:59:00+01:00,735.0899999999999
37176,2020-11-17 22:48:00+01:00,733.1899999999999,37177,2020-11-17 22:48:30+01:00,748.1100000000001,64078,2020-11-27 06:59:00+01:00,735.0899999999999,64079,2020-11-27 06:59:30+01:00,753.3
37177,2020-11-17 22:48:30+01:00,748.1100000000001,37178,2020-11-17 22:49:00+01:00,782.4749999999999,64079,2020-11-27 06:59:30+01:00,753.3,64080,2020-11-27 07:00:00+01:00,785.8
37178,2020-11-17 22:49:00+01:00,782.4749999999999,37179,2020-11-17 22:49:30+01:00,822.7199999999999,64080,2020-11-27 07:00:00+01:00,785.8,64081,2020-11-27 07:00:30+01:00,826.5400000000002
37179,2020-11-17 22:49:30+01:00,822.7199999999999,37180,2020-11-17 22:50:00+01:00,885.18,64081,2020-11-27 07:00:30+01:00,826.5400000000002,64082,2020-11-27 07:01:00+01:00,889.7700000000001
37180,2020-11-17 22:50:00+01:00,885.18,37181,2020-11-17 22:50:30+01:00,855.0666666666667,64082,2020-11-27 07:01:00+01:00,889.7700000000001,64083,2020-11-27 07:01:30+01:00,861.2714285714286
37181,2020-11-17 22:50:30+01:00,855.0666666666667,37182,2020-11-17 22:51:00+01:00,813.85,64083,2020-11-27 07:01:30+01:00,861.2714285714286,64084,2020-11-27 07:02:00+01:00,815.1954545454547
37182,2020-11-17 22:51:00+01:00,813.85,37183,2020-11-17 22:51:30+01:00,809.5954545454547,64084,2020-11-27 07:02:00+01:00,815.1954545454547,64085,2020-11-27 07:02:30+01:00,812.4363636363634
37183,2020-11-17 22:51:30+01:00,809.5954545454547,37184,2020-11-17 22:52:00+01:00,733.795,64085,2020-11-27 07:02:30+01:00,812.4363636363634,64086,2020-11-27 07:03:00+01:00,737.915
37184,2020-11-17 22:52:00+01:00,733.795,37185,2020-11-17 22:52:30+01:00,750.495,64086,2020-11-27 07:03:00+01:00,737.915,64087,2020-11-27 07:03:30+01:00,755.845
37185,2020-11-17 22:52:30+01:00,750.495,37186,2020-11-17 22:53:00+01:00,785.9850000000001,64087,2020-11-27 07:03:30+01:00,755.845,64088,2020-11-27 07:04:00+01:00,790.0249999999999
37186,2020-11-17 22:53:00+01:00,785.9850000000001,37187,2020-11-17 22:53:30+01:00,821.425,64088,2020-11-27 07:04:00+01:00,790.0249999999999,64089,2020-11-27 07:04:30+01:00,827.15
37187,2020-11-17 22:53:30+01:00,821.425,37188,2020-11-17 22:54:00+01:00,855.1200000000001,64089,2020-11-27 07:04:30+01:00,827.15,64090,2020-11-27 07:05:00+01:00,862.5249999999999
37188,2020-11-17 22:54:00+01:00,855.1200000000001,37189,2020-11-17 22:54:30+01:00,854.2238095238096,64090,2020-11-27 07:05:00+01:00,862.5249999999999,64091,2020-11-27 07:05:30+01:00,853.9238095238094
37189,2020-11-17 22:54:30+01:00,854.2238095238096,37190,2020-11-17 22:55:00+01:00,818.7727272727273,64091,2020-11-27 07:05:30+01:00,853.9238095238094,64092,2020-11-27 07:06:00+01:00,822.8636363636364
37190,2020-11-17 22:55:00+01:00,818.7727272727273,37191,2020-11-17 22:55:30+01:00,815.7499999999999,64092,2020-11-27 07:06:00+01:00,822.8636363636364,64093,2020-11-27 07:06:30+01:00,819.35
37191,2020-11-17 22:55:30+01:00,815.7499999999999,37192,2020-11-17 22:56:00+01:00,739.6099999999999,64093,2020-11-27 07:06:30+01:00,819.35,64094,2020-11-27 07:07:00+01:00,744.52
37192,2020-11-17 22:56:00+01:00,739.6099999999999,37193,2020-11-17 22:56:30+01:00,757.2450000000001,64094,2020-11-27 07:07:00+01:00,744.52,64095,2020-11-27 07:07:30+01:00,760.7600000000001
37193,2020-11-17 22:56:30+01:00,757.2450000000001,37194,2020-11-17 22:57:00+01:00,790.8850000000002,64095,2020-11-27 07:07:30+01:00,760.7600000000001,64096,2020-11-27 07:08:00+01:00,796.115
37194,2020-11-17 22:57:00+01:00,790.8850000000002,37195,2020-11-17 22:57:30+01:00,826.72,64096,2020-11-27 07:08:00+01:00,796.115,64097,2020-11-27 07:08:30+01:00,830.6899999999999
37195,2020-11-17 22:57:30+01:00,826.72,37196,2020-11-17 22:58:00+01:00,859.7900000000002,64097,2020-11-27 07:08:30+01:00,830.6899999999999,64098,2020-11-27 07:09:00+01:00,864.165
37196,2020-11-17 22:58:00+01:00,859.7900000000002,37197,2020-11-17 22:58:30+01:00,829.4238095238096,64098,2020-11-27 07:09:00+01:00,864.165,64099,2020-11-27 07:09:30+01:00,833.6428571428573
37197,2020-11-17 22:58:30+01:00,829.4238095238096,37198,2020-11-17 22:59:00+01:00,805.7772727272728,64099,2020-11-27 07:09:30+01:00,833.6428571428573,64100,2020-11-27 07:10:00+01:00,810.4636363636364
37198,2020-11-17 22:59:00+01:00,805.7772727272728,37199,2020-11-17 22:59:30+01:00,817.4181818181819,64100,2020-11-27 07:10:00+01:00,810.4636363636364,64101,2020-11-27 07:10:30+01:00,823.9499999999999
37199,2020-11-17 22:59:30+01:00,817.4181818181819,37200,2020-11-17 23:00:00+01:00,742.645,64101,2020-11-27 07:10:30+01:00,823.9499999999999,64102,2020-11-27 07:11:00+01:00,747.45
37200,2020-11-17 23:00:00+01:00,742.645,37201,2020-11-17 23:00:30+01:00,758.96,64102,2020-11-27 07:11:00+01:00,747.45,64103,2020-11-27 07:11:30+01:00,765.6700000000001
37201,2020-11-17 23:00:30+01:00,758.96,37202,2020-11-17 23:01:00+01:00,794.295,64103,2020-11-27 07:11:30+01:00,765.6700000000001,64104,2020-11-27 07:12:00+01:00,801.4800000000001
37202,2020-11-17 23:01:00+01:00,794.295,37203,2020-11-17 23:01:30+01:00,828.7149999999999,64104,2020-11-27 07:12:00+01:00,801.4800000000001,64105,2020-11-27 07:12:30+01:00,835.2349999999999
37203,2020-11-17 23:01:30+01:00,828.7149999999999,37204,2020-11-17 23:02:00+01:00,863.6649999999997,64105,2020-11-27 07:12:30+01:00,835.2349999999999,64106,2020-11-27 07:13:00+01:00,868.7149999999998
37204,2020-11-17 23:02:00+01:00,863.6649999999997,37205,2020-11-17 23:02:30+01:00,833.0666666666666,64106,2020-11-27 07:13:00+01:00,868.7149999999998,64107,2020-11-27 07:13:30+01:00,839.5428571428571
